Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT2G23380	-0.17	0.690120966	0.930963312	PEG	2.70	8410.5	0.83	0.082012091	0.524231513	MEG	40.67	1219	0.35	0.697974535	1	MEG	10.78	7742	0.155343483	5790.5	AT2G23380.1	SET domain-containing protein	-0.17	0.744589445	0.79735835	PEG	2.93	12911
AT3G24170	-0.29	0.41359992	0.818040784	PEG	7.61	5733.5	NA	NA	NA	NA	NA	3896	0.04	0.959174161	1	MEG	0.17	7742	0.74807696	5790.5	NA	NA	1.74	7.37E-13	6.44E-12	MEG	75.24	1582
AT5G18270	-0.34	0.268428885	0.720868269	PEG	10.55	4222	0.09	0.678746011	0.96288166	MEG	0.78	5410	0.34	0.660230804	1	MEG	10.60	7742	0.587284306	5791.3	AT5G18270.1	Arabidopsis NAC domain containing protein 87	3.79	4.07E-06	1.75E-05	MEG	93.50	3206
AT5G23460	-0.46	0.413709342	0.818114551	PEG	17.73	5736	NA	NA	NA	NA	NA	3896	0.06	0.939515726	1	MEG	0.35	7742	0.740435713	5791.3	AT5G23460.1		1.85	0.001322071	0.003594682	MEG	77.31	5085
AT3G09500	-0.20	0.649721514	0.917061821	PEG	3.94	8037.5	-0.58	0.129423068	0.631870017	PEG	25.29	1596	0.05	0.932247812	1	MEG	0.25	7742	0.874452608	5791.8	NA	NA	-0.99	9.08E-14	8.53E-13	PEG	49.46	1472
AT1G73430	0.17	0.595318642	0.898677053	MEG	2.94	7530.5	-0.59	0.203574439	0.753186449	PEG	26.04	2103.5	-0.23	0.76453932	1	PEG	4.84	7742	0.730391527	5792.0	AT1G73430.1	sec34-like family protein	-0.04	0.87012278	0.900276494	PEG	0.13	13362.5
AT5G18570	0.27	0.597003842	0.898677053	MEG	7.03	7530.5	-0.34	0.202823507	0.753186449	PEG	10.23	2103.5	0.02	0.98031012	1	MEG	0.06	7742	0.668843005	5792.0	AT5G18570.1	GTP1/OBG family protein	0.00	0.998906903	0.998979157	MEG	0.00	13825
AT1G25280	0.39	0.414214129	0.81868459	MEG	13.32	5739	NA	NA	NA	NA	NA	3896	-0.47	0.795370674	1	PEG	17.78	7742	0.384396806	5792.3	AT1G25280.1	tubby like protein 10	NA	NA	NA	NA	NA	6913
AT5G51960	0.29	0.414377134	0.818864082	MEG	7.98	5740	NA	NA	NA	NA	NA	3896	0.17	0.780696215	1	MEG	2.89	7742	0.284265209	5792.7	AT5G51960.1		0.17	0.703436454	0.762949461	MEG	2.70	12747.5
AT3G25910	-0.14	0.568084037	0.889052197	PEG	2.05	7246.5	0.29	0.240786492	0.78425765	MEG	7.56	2392.5	0.06	0.869600914	1	MEG	0.41	7742	0.36265112	5793.7	NA	NA	NA	NA	NA	NA	NA	6913
AT3G27925	-0.51	0.415469134	0.819668808	PEG	20.67	5747	NA	NA	NA	NA	NA	3896	-0.20	0.733716771	1	PEG	3.85	7742	0.847691256	5795.0	NA	NA	1.49	0.203259201	0.280241495	MEG	68.93	10028
AT5G13680	-0.14	0.671245028	0.924610894	PEG	1.84	8235.5	0.35	0.102713897	0.568428044	MEG	10.99	1407.5	0.50	0.216290772	1	MEG	20.17	7742	0.082264487	5795.0	AT5G13680.1	IKI3 family protein	0.13	0.610684241	0.682729871	MEG	1.54	12367
AT5G66590	-0.42	0.415272417	0.819668808	PEG	14.72	5747	NA	NA	NA	NA	NA	3896	-0.29	0.875226275	1	PEG	7.81	7742	0.805805562	5795.0	AT5G66590.1	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein	4.00	6.35E-07	3.08E-06	MEG	94.13	2850
AT3G16890	NA	NA	NA	NA	NA	5671.5	-0.32	0.470250944	0.921583988	PEG	9.05	3971.5	-0.57	0.818283196	1	PEG	24.59	7742	0.810867469	5795.0	NA	NA	1.90	0.018847851	0.037920604	MEG	78.29	6872
AT1G53165	-0.16	0.633697194	0.911582534	PEG	2.42	7885	-0.59	0.153551619	0.680295895	PEG	26.03	1758.5	-0.10	0.856837454	1	PEG	0.90	7742	0.915932511	5795.2	AT1G53165.1	Protein kinase superfamily protein	0.24	0.561823799	0.638167585	MEG	5.63	12172
AT5G59030	-0.15	0.579725961	0.892648804	PEG	2.21	7365	0.94	0.225903429	0.770358348	MEG	46.74	2280	-0.49	0.42915341	1	PEG	19.05	7742	0.477928596	5795.7	AT5G59030.1	copper transporter 1	1.10	0.140619117	0.20809161	MEG	54.55	9343
AT2G33800	-0.31	0.23501653	0.682114162	PEG	8.60	3908.5	-0.09	0.71331026	0.969599023	PEG	0.87	5738	-0.23	0.602655256	1	PEG	5.15	7742	0.933022837	5796.2	NA	NA	-1.14	3.53E-07	1.78E-06	PEG	56.31	2743
AT1G31150	0.28	0.574093486	0.890840165	MEG	7.15	7308.5	-0.94	0.234383175	0.778097157	PEG	46.99	2339	-0.09	0.857183421	1	PEG	0.75	7742	0.694964345	5796.5	AT1G31150.1	Domain of unknown function (DUF1985)	0.92	5.00E-06	2.12E-05	MEG	45.98	3255
AT1G65840	-0.21	0.200692781	0.643109892	PEG	4.27	3540.5	0.05	0.768075296	0.97815624	MEG	0.29	6107	-0.05	0.898663565	1	PEG	0.27	7742	0.767904813	5796.5	AT1G65840.1	polyamine oxidase 4	-1.03	9.71E-05	0.000328851	PEG	51.57	4081
AT3G09190	0.72	0.292180407	0.742595195	MEG	33.92	4463	-0.10	0.638224093	0.959618418	PEG	0.95	5184.5	0.29	0.697701786	1	MEG	7.93	7742	0.347323437	5796.5	NA	NA	1.56	0.000202048	0.000645601	MEG	70.75	4327
AT4G23490	0.37	0.573879057	0.890840165	MEG	11.85	7308.5	-0.36	0.233012933	0.778097157	PEG	11.28	2339	-0.29	0.741678377	1	PEG	7.84	7742	0.721037137	5796.5	AT4G23490.1	Protein of unknown function (DUF604)	2.29	2.38E-07	1.22E-06	MEG	84.03	2695.5
AT5G59880	-0.37	0.415746251	0.819855656	PEG	12.12	5751.5	NA	NA	NA	NA	NA	3896	0.56	0.526005554	1	MEG	24.01	7742	0.535125547	5796.5	AT5G59880.1	actin depolymerizing factor 3	1.29	1.99E-14	1.98E-13	MEG	62.44	1390
AT1G60010	0.16	0.630712521	0.909944384	MEG	2.53	7862	0.66	0.157718728	0.687713671	MEG	30.05	1786	0.09	0.932033304	1	MEG	0.76	7742	0.178394947	5796.7	AT1G60010.1		6.69	2.12E-05	8.15E-05	MEG	97.82	3599
AT3G15520	-0.43	0.340711643	0.776512488	PEG	15.55	4974	0.39	0.569273438	0.948716806	MEG	12.99	4674	0.05	0.91514051	1	MEG	0.30	7742	0.615984675	5796.7	NA	NA	-0.38	0.559198874	0.636106459	PEG	12.59	12155.5
AT3G50590	-0.14	0.701606589	0.933096274	PEG	2.03	8495	0.39	0.073554159	0.496649917	MEG	13.17	1153.5	0.23	0.520965998	1	MEG	5.08	7742	0.118064333	5796.8	AT3G50590.1	Transducin/WD40 repeat-like superfamily protein	0.64	0.072667535	0.120960913	MEG	29.01	8306
AT4G00895	-0.17	0.395735604	0.806069402	PEG	2.86	5570	0.23	0.48439583	0.926605517	MEG	4.83	4078.5	0.02	0.96331352	1	MEG	0.04	7742	0.577827121	5796.8	AT4G00895.1	ATPase, F1 complex, OSCP/delta subunit protein	0.22	0.582155409	0.65662267	MEG	4.66	12258
AT5G04050	0.59	0.376659623	0.798156898	MEG	25.76	5352.5	-0.55	0.517359235	0.93564466	PEG	23.38	4296	1.58	0.265785108	1	MEG	71.48	7742	0.239999986	5796.8	AT5G04050.1	RNA-directed DNA polymerase (reverse transcriptase)	-1.45	0.000675993	0.001954062	PEG	67.67	4783
AT2G19880	0.29	0.416732362	0.820941534	MEG	7.92	5757.5	NA	NA	NA	NA	NA	3896	0.66	0.5500897	1	MEG	30.27	7742	0.221175474	5798.5	AT2G19880.1	Nucleotide-diphospho-sugar transferases superfamily protein	0.47	0.095961658	0.152186956	MEG	17.93	8717.5
AT5G43790	-0.50	0.402856116	0.809682573	PEG	20.12	5639	0.67	0.475697265	0.923244925	MEG	30.79	4014.5	-0.55	0.599102094	1	PEG	22.99	7742	0.672052172	5798.5	AT5G43790.1	Pentatricopeptide repeat (PPR) superfamily protein	0.79	0.000878178	0.002475875	MEG	38.62	4904
AT5G45520	0.76	0.416697203	0.820941534	MEG	36.89	5757.5	NA	NA	NA	NA	NA	3896	0.51	0.794583891	1	MEG	20.45	7742	0.289020158	5798.5	AT5G45520.1	Leucine-rich repeat (LRR) family protein	6.50	6.12E-05	0.00021571	MEG	97.69	3920
AT5G16220	0.13	0.478638151	0.85107643	MEG	1.74	6377.5	0.17	0.365431234	0.868706245	MEG	2.79	3277.5	0.08	0.827420296	1	MEG	0.69	7742	0.236296158	5799.0	AT5G16220.1	Octicosapeptide/Phox/Bem1p family protein	3.07	2.92E-19	3.96E-18	MEG	90.40	1021
AT4G32290	-0.13	0.712055833	0.935436303	PEG	1.68	8632	-0.76	0.058518654	0.444855956	PEG	36.62	1025	0.04	0.920964541	1	MEG	0.17	7742	0.869523379	5799.7	AT4G32290.1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	NA	NA	NA	NA	NA	6913
AT1G16570	0.10	0.683500795	0.929062305	MEG	0.99	8335	-0.46	0.093982448	0.549878702	PEG	17.45	1322.5	-0.19	0.617176009	1	PEG	3.48	7742	0.811146353	5799.8	AT1G16570.1	UDP-Glycosyltransferase superfamily protein	1.87	8.70E-09	5.24E-08	MEG	77.81	2293
AT4G17300	-0.44	0.447554931	0.834677942	PEG	15.97	6090.5	-0.24	0.406305684	0.893494288	PEG	5.58	3569	-0.05	0.930434601	1	PEG	0.21	7742	0.899143633	5800.5	AT4G17300.1	Class II aminoacyl-tRNA and biotin synthetases superfamily protein	-0.29	0.400806345	0.483044128	PEG	7.57	11472.5
AT5G15030	-0.28	0.334405199	0.772563691	PEG	7.22	4906	-0.25	0.582194017	0.950990602	PEG	5.92	4753.5	0.54	0.204911516	1	MEG	22.52	7742	0.468185141	5800.5	AT5G15030.1	Paired amphipathic helix (PAH2) superfamily protein	0.76	0.008672675	0.019191487	MEG	36.73	6248
AT2G37120	-0.39	0.288654598	0.739444089	PEG	13.33	4424	-0.26	0.646160728	0.961393159	PEG	6.34	5236	-0.02	0.964031177	1	PEG	0.04	7742	0.878644556	5800.7	NA	NA	-0.36	0.537729396	0.615909753	PEG	11.27	12071
AT2G17200	0.28	0.417456527	0.821371967	MEG	7.28	5765	NA	NA	NA	NA	NA	3896	0.38	0.421330326	1	MEG	12.56	7742	0.181348713	5801.0	AT2G17200.1	ubiquitin family protein	1.72	0.003307069	0.008173674	MEG	74.67	5594
AT1G23000	-0.20	0.656104461	0.920493866	PEG	3.67	8085	-0.35	0.126461552	0.624523402	PEG	11.02	1576.5	-0.34	0.633493469	1	PEG	10.54	7742	0.946077205	5801.2	AT1G23000.1	Heavy metal transport/detoxification superfamily protein 	-3.05	2.36E-13	2.15E-12	PEG	90.27	1512
AT1G49650	0.40	0.401802269	0.8094727	MEG	13.51	5622.5	0.24	0.479288278	0.924743169	MEG	5.28	4039.5	1.37	0.136031385	1	MEG	65.08	7742	0.075609479	5801.3	AT1G49650.1	alpha/beta-Hydrolases superfamily protein	2.76	9.16E-05	0.000311953	MEG	88.41	4059
AT2G26970	-0.42	0.456774574	0.837528074	PEG	14.93	6185	0.49	0.396666515	0.888746374	MEG	19.41	3478	-0.74	0.317682891	1	PEG	35.21	7742	0.663131018	5801.7	AT2G26970.1	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	0.65	0.174301682	0.247219436	MEG	29.72	9748
AT1G51950	0.83	0.417741766	0.821398348	MEG	41.01	5768	NA	NA	NA	NA	NA	3896	-1.55	0.448873655	1	PEG	70.53	7742	0.456852215	5802.0	AT1G51950.1	indole-3-acetic acid inducible 18	3.69	0.1422141	0.210024796	MEG	93.15	9361.5
AT2G32060	0.26	0.417688757	0.821398348	MEG	6.34	5768	NA	NA	NA	NA	NA	3896	-0.03	0.939947107	1	PEG	0.09	7742	0.3543278	5802.0	NA	NA	-0.93	0.000107918	0.000362329	PEG	46.18	4118
AT3G53510	0.48	0.41781943	0.821398348	MEG	18.78	5768	NA	NA	NA	NA	NA	3896	0.24	0.656636775	1	MEG	5.38	7742	0.252381403	5802.0	AT3G53510.1	ABC-2 type transporter family protein	3.66	1.60E-05	6.27E-05	MEG	93.07	3526
AT1G48460	NA	NA	NA	NA	NA	5671.5	-0.45	0.474345071	0.923101098	PEG	16.57	3996	1.11	0.28215717	1	MEG	55.33	7742	0.347517914	5803.2	AT1G48460.1		-1.17	0.111531242	0.172177048	PEG	57.96	8957
AT3G15770	0.61	0.418022032	0.821452435	MEG	27.02	5772	NA	NA	NA	NA	NA	3896	-0.01	0.991162395	1	PEG	0.02	7742	0.342614665	5803.3	NA	NA	0.36	0.782085229	0.828210047	MEG	11.51	13056
AT2G46610	-0.32	0.494537324	0.860301587	PEG	9.41	6514	0.40	0.348006706	0.859216834	MEG	13.89	3158.5	0.25	0.714964614	1	MEG	5.84	7742	0.409576256	5804.8	NA	NA	0.34	0.497819703	0.57785704	MEG	10.16	11909.5
AT2G43250	0.44	0.162759188	0.589279513	MEG	15.94	3128.5	0.09	0.827831179	0.985468669	MEG	0.76	6545	0.20	0.797983058	1	MEG	3.76	7742	0.196161151	5805.2	NA	NA	1.31	0.000207173	0.000660603	MEG	63.15	4336
AT3G51280	0.12	0.634524214	0.911912543	MEG	1.52	7896.5	-0.28	0.156306846	0.685007279	PEG	7.12	1778	0.20	0.723089806	1	MEG	3.79	7742	0.610200488	5805.5	AT3G51280.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-3.39	1.35E-14	1.35E-13	PEG	91.98	1383
AT1G34200	-0.45	0.3236128	0.765916234	PEG	16.80	4786	-0.19	0.600345212	0.955139066	PEG	3.34	4890	0.06	0.914787267	1	MEG	0.37	7742	0.853496042	5806.0	AT1G34200.1	Glyceraldehyde-3-phosphate dehydrogenase-like family protein	-0.32	0.538269035	0.616374662	PEG	9.23	12073
AT1G71190	-0.28	0.361909791	0.788319599	PEG	7.29	5207.5	0.19	0.539567588	0.940220172	MEG	3.53	4469.5	-0.36	0.381277285	1	PEG	11.43	7742	0.751600708	5806.3	AT1G71190.1	senescence associated gene 18	2.21	0.000407954	0.001231522	MEG	82.98	4580
AT3G46730	1.93	0.062768804	0.368290782	MEG	78.90	1933	0.00	0.99326256	0.998924169	MEG	0.00	7744	0.16	0.903504172	1	MEG	2.51	7742	0.128409443	5806.3	AT3G46730.1	NB-ARC domain-containing disease resistance protein	NA	NA	NA	NA	NA	6913
AT1G64840	0.35	0.272194329	0.724391218	MEG	10.73	4268.5	0.08	0.665253684	0.96288166	MEG	0.65	5410	0.09	0.824463183	1	MEG	0.82	7742	0.240857606	5806.8	AT1G64840.1	Protein of unknown function (DUF295)	NA	NA	NA	NA	NA	6913
AT5G04290	-0.23	0.272992162	0.724391218	PEG	4.88	4268.5	-0.07	0.663147972	0.96288166	PEG	0.52	5410	0.04	0.940053816	1	MEG	0.13	7742	0.85606299	5806.8	AT5G04290.1	kow domain-containing transcription factor 1	-0.23	0.265190933	0.347143519	PEG	5.04	10562
AT4G22860	-0.08	0.720178339	0.937347436	PEG	0.67	8715	-0.41	0.052021991	0.420057361	PEG	14.24	965	-0.23	0.546361815	1	PEG	4.89	7742	0.953740748	5807.3	AT4G22860.1	Cell cycle regulated microtubule associated protein	-2.22	1.60E-13	1.49E-12	PEG	83.13	1492
AT3G03330	0.53	0.247227918	0.699740886	MEG	21.81	4007.5	0.10	0.704785304	0.968987559	MEG	1.03	5676	-0.15	0.834204687	1	PEG	2.30	7742	0.289971715	5808.5	NA	NA	0.54	0.138765471	0.205943689	MEG	22.88	9316
AT4G10220	0.95	0.133426911	0.537900212	MEG	47.47	2813	-0.15	0.870913698	0.991972801	PEG	2.22	6870.5	1.53	0.358455777	1	MEG	70.08	7742	0.124805034	5808.5	AT4G10220.1	Protein of Unknown Function (DUF239)	-4.25	7.39E-07	3.54E-06	PEG	94.75	2881
AT3G07580	0.52	0.230456291	0.677347749	MEG	21.32	3859	-0.10	0.730378448	0.970703423	PEG	1.01	5825	0.11	0.803633412	1	MEG	1.28	7742	0.31587692	5808.7	NA	NA	0.65	0.064843873	0.109788316	MEG	29.77	8166
AT1G01240	-0.53	0.420473002	0.821747977	PEG	22.09	5789	NA	NA	NA	NA	NA	3896	-0.16	0.842991574	1	PEG	2.61	7742	0.814771052	5809.0	AT1G01240.1		1.50	0.071534319	0.119290013	MEG	69.19	8291
AT1G05960	-0.48	0.418813666	0.821747977	PEG	18.94	5789	NA	NA	NA	NA	NA	3896	0.97	0.573382242	1	MEG	48.40	7742	0.56308651	5809.0	AT1G05960.1	ARM repeat superfamily protein	0.72	0.436469241	0.518616683	MEG	34.32	11636
AT1G08035	0.65	0.419215088	0.821747977	MEG	29.49	5789	NA	NA	NA	NA	NA	3896	-0.80	0.356912037	1	PEG	38.98	7742	0.475119989	5809.0	AT1G08035.1		NA	NA	NA	NA	NA	6913
AT1G22120	0.48	0.419923981	0.821747977	MEG	18.92	5789	NA	NA	NA	NA	NA	3896	-0.09	0.945671815	1	PEG	0.79	7742	0.354308824	5809.0	AT1G22120.1		-2.31	5.70E-05	0.000202783	PEG	84.27	3889
AT1G78610	0.43	0.419872621	0.821747977	MEG	15.83	5789	NA	NA	NA	NA	NA	3896	-0.23	0.669840403	1	PEG	5.02	7742	0.414516822	5809.0	AT1G78610.1	mechanosensitive channel of small conductance-like 6	NA	NA	NA	NA	NA	6913
AT2G46290	0.66	0.419695032	0.821747977	MEG	30.27	5789	NA	NA	NA	NA	NA	3896	-0.01	0.995588893	1	PEG	0.01	7742	0.342519046	5809.0	NA	NA	-0.88	0.116928383	0.17879361	PEG	43.78	9041.5
AT3G44716	-0.27	0.418677675	0.821747977	PEG	6.73	5789	NA	NA	NA	NA	NA	3896	-0.66	0.107969296	1	PEG	30.26	7742	0.965177016	5809.0	AT3G44716.1		3.59	3.31E-15	3.47E-14	MEG	92.81	1320
AT3G56720	0.30	0.491046723	0.85912695	MEG	8.33	6480	0.32	0.356891704	0.864422379	MEG	9.40	3205	-0.20	0.71344594	1	PEG	3.91	7742	0.308271138	5809.0	AT3G56720.1		0.86	0.007188692	0.016280239	MEG	42.36	6105
AT4G04790	0.27	0.418622955	0.821747977	MEG	7.00	5789	NA	NA	NA	NA	NA	3896	-0.34	0.527547685	1	PEG	10.47	7742	0.442291754	5809.0	AT4G04790.1	Tetratricopeptide repeat (TPR)-like superfamily protein	NA	NA	NA	NA	NA	6913
AT4G19350	-0.18	0.419492685	0.821747977	PEG	3.05	5789	NA	NA	NA	NA	NA	3896	-0.01	0.991005284	1	PEG	0.00	7742	0.76530542	5809.0	AT4G19350.1	embryo defective 3006	2.17	5.91E-08	3.26E-07	MEG	82.42	2503
AT4G35930	0.78	0.420401443	0.821747977	MEG	37.90	5789	NA	NA	NA	NA	NA	3896	-0.31	0.792358799	1	PEG	8.91	7742	0.388915328	5809.0	AT4G35930.1	F-box family protein	NA	NA	NA	NA	NA	6913
AT5G05820	-0.31	0.418714668	0.821747977	PEG	9.02	5789	NA	NA	NA	NA	NA	3896	0.21	0.662406876	1	MEG	4.10	7742	0.612742851	5809.0	AT5G05820.1	Nucleotide-sugar transporter family protein	NA	NA	NA	NA	NA	6913
AT5G17350	-0.21	0.419957541	0.821747977	PEG	4.11	5789	NA	NA	NA	NA	NA	3896	-0.08	0.870687711	1	PEG	0.67	7742	0.806189538	5809.0	AT5G17350.1		NA	NA	NA	NA	NA	6913
AT1G65020	NA	NA	NA	NA	NA	5671.5	0.63	0.4759593	0.923244925	MEG	28.59	4014.5	0.32	0.797086003	1	MEG	9.25	7742	0.318253761	5809.3	AT1G65020.1		2.25	5.86E-05	0.00020788	MEG	83.50	3898
AT5G02100	-0.29	0.133548703	0.537950598	PEG	7.87	2816	0.04	0.880620777	0.991972801	MEG	0.16	6870.5	-0.03	0.948533235	1	PEG	0.06	7742	0.800684946	5809.5	AT5G02100.1	Oxysterol-binding family protein	-0.20	0.548869596	0.626541532	PEG	3.79	12112
AT4G35300	-0.20	0.541741075	0.879866478	PEG	3.96	6978.5	-0.28	0.285378316	0.820844037	PEG	7.32	2709	0.02	0.968398155	1	MEG	0.04	7742	0.880544118	5809.8	AT4G35300.1	tonoplast monosaccharide transporter2	0.89	0.168800941	0.240855717	MEG	44.30	9689.5
AT1G30840	-0.27	0.14892022	0.5671806	PEG	6.56	2975	-0.04	0.853921474	0.990997869	PEG	0.12	6714	-0.08	0.80074397	1	PEG	0.69	7742	0.891059679	5810.3	AT1G30840.1	purine permease 4	-0.24	0.225459855	0.304295974	PEG	5.29	10244
AT5G08350	-0.58	0.442546062	0.832057017	PEG	25.29	6033	0.62	0.423507823	0.902618423	MEG	27.67	3656	0.18	0.845997318	1	MEG	3.28	7742	0.502777805	5810.3	AT5G08350.1	GRAM domain-containing protein / ABA-responsive protein-related	NA	NA	NA	NA	NA	6913
AT4G31650	0.34	0.42482865	0.823292397	MEG	10.40	5846.5	-0.22	0.449770156	0.910057639	PEG	4.49	3846.5	-0.44	0.510731256	1	PEG	16.33	7742	0.64994931	5811.7	AT4G31650.1	Transcriptional factor B3 family protein	3.98	0.103000425	0.161387565	MEG	94.06	8824
AT2G44240	0.50	0.183162335	0.622411734	MEG	20.11	3335	0.10	0.804604596	0.980171397	MEG	0.94	6359	0.24	0.738163663	1	MEG	5.26	7742	0.197628563	5812.0	NA	NA	NA	NA	NA	NA	NA	6913
AT2G22010	0.19	0.430153002	0.825588072	MEG	3.63	5909.5	0.16	0.443306944	0.907190943	MEG	2.59	3791.5	0.14	0.701932945	1	MEG	1.91	7742	0.225145231	5814.3	AT2G22010.1	related to KPC1	1.20	1.18E-07	6.33E-07	MEG	59.10	2583
AT1G63190	-0.32	0.420752847	0.821926613	PEG	9.06	5806	NA	NA	NA	NA	NA	3896	0.66	0.580481533	1	MEG	30.58	7742	0.566820278	5814.7	AT1G63190.1	Cystatin/monellin superfamily protein	-3.03	5.94E-05	0.000210257	PEG	90.20	3903
AT5G58980	0.21	0.289798425	0.740356652	MEG	4.40	4439.5	-0.10	0.649586372	0.961901037	PEG	0.95	5262.5	-0.15	0.68179837	1	PEG	2.25	7742	0.483554496	5814.7	AT5G58980.1	Neutral/alkaline non-lysosomal ceramidase	2.67	5.05E-19	6.73E-18	MEG	87.67	1038
AT5G55820	-0.25	0.619499389	0.903693789	PEG	6.05	7729.5	-0.30	0.184094066	0.727045596	PEG	8.41	1973	0.21	0.681061956	1	MEG	4.27	7742	0.797593108	5814.8	AT5G55820.1		-1.97	0.007200237	0.016303714	PEG	79.45	6106
AT3G58930	0.75	0.552893329	0.883433511	MEG	35.70	7117.5	-0.39	0.268221096	0.807700167	PEG	13.11	2586.5	0.14	0.868671965	1	MEG	2.00	7742	0.605694425	5815.3	AT3G58930.1	F-box/RNI-like superfamily protein	-0.99	0.085255309	0.138041915	PEG	49.70	8539
AT4G35620	-0.44	0.274545993	0.725574106	PEG	16.19	4295	-0.26	0.679777334	0.96288166	PEG	6.47	5410	0.62	0.239390441	1	MEG	27.84	7742	0.497106817	5815.7	AT4G35620.1	"Cyclin B2;2"	NA	NA	NA	NA	NA	6913
AT4G32440	0.99	0.205712192	0.64849274	MEG	49.42	3598.5	-0.07	0.768491398	0.97815624	PEG	0.51	6107	0.75	0.364218643	1	MEG	35.81	7742	0.177842487	5815.8	AT4G32440.1	Plant Tudor-like RNA-binding protein	6.61	3.11E-05	0.000115932	MEG	97.77	3712
AT5G66030	0.23	0.325906083	0.767279514	MEG	5.20	4817	0.11	0.599606488	0.955139066	MEG	1.28	4890	0.05	0.893131212	1	MEG	0.28	7742	0.264868096	5816.3	AT5G66030.1	Golgi-localized GRIP domain-containing protein	0.91	0.024893889	0.048023289	MEG	45.31	7167
AT3G16170	0.40	0.421380659	0.822184251	MEG	13.71	5813.5	NA	NA	NA	NA	NA	3896	0.86	0.324000216	1	MEG	42.72	7742	0.149413024	5817.2	NA	NA	2.75	1.16E-12	9.97E-12	MEG	88.30	1613
AT3G63190	-0.12	0.712078462	0.935436303	PEG	1.36	8632	-1.38	0.064673213	0.467583513	PEG	65.63	1077.5	-0.25	0.53825693	1	PEG	5.92	7742	0.954497951	5817.2	AT3G63190.1	ribosome recycling factor, chloroplast precursor	NA	NA	NA	NA	NA	6913
AT2G46150	NA	NA	NA	NA	NA	5671.5	0.63	0.478641572	0.924743169	MEG	28.57	4039.5	-0.16	0.904962712	1	PEG	2.40	7742	0.397331334	5817.7	NA	NA	1.59	1.75E-12	1.48E-11	MEG	71.63	1635
AT5G54730	NA	NA	NA	NA	NA	5671.5	0.58	0.478896844	0.924743169	MEG	25.29	4039.5	-0.30	0.829593675	1	PEG	8.31	7742	0.415503422	5817.7	AT5G54730.1	homolog of yeast autophagy 18 (ATG18) F	NA	NA	NA	NA	NA	6913
AT1G60990	0.26	0.472160742	0.846949529	MEG	6.54	6319.5	-0.50	0.38202678	0.878033695	PEG	19.91	3393	-0.17	0.746978707	1	PEG	2.95	7742	0.643385407	5818.2	AT1G60990.1	Glycine cleavage T-protein family	2.09	0.007352879	0.016613973	MEG	81.32	6118.5
AT3G55840	0.68	0.136044921	0.542392939	MEG	31.32	2844	0.06	0.876058761	0.991972801	MEG	0.39	6870.5	-0.11	0.882298965	1	PEG	1.26	7742	0.224475051	5818.8	AT3G55840.1	Hs1pro-1 protein	3.42	6.81E-05	0.000237773	MEG	92.13	3957
AT1G18800	0.34	0.42230577	0.822495138	MEG	10.41	5821.5	NA	NA	NA	NA	NA	3896	-0.45	0.583495797	1	PEG	17.05	7742	0.43371262	5819.8	AT1G18800.1	NAP1-related protein 2	NA	NA	NA	NA	NA	6913
AT5G16540	-0.50	0.422201951	0.822495138	PEG	19.73	5821.5	NA	NA	NA	NA	NA	3896	-0.19	0.801981416	1	PEG	3.44	7742	0.826784899	5819.8	AT5G16540.1	zinc finger nuclease 3	-0.79	0.117469187	0.179481598	PEG	38.67	9049
AT5G47210	0.10	0.782490736	0.954357452	MEG	0.91	9269.5	-1.30	0.005427298	0.093976683	PEG	62.90	450	-0.04	0.926198701	1	PEG	0.16	7742	0.792854055	5820.5	AT5G47210.1	Hyaluronan / mRNA binding family	-0.50	0.097629908	0.154372268	PEG	19.94	8744
AT4G07990	0.94	0.136767385	0.542504343	MEG	46.78	2854	-0.04	0.876220081	0.991972801	PEG	0.19	6870.5	-0.33	0.575734177	1	PEG	9.75	7742	0.303001737	5822.2	AT4G07990.1	Chaperone DnaJ-domain superfamily protein	1.15	0.066831936	0.112671424	MEG	56.90	8201
AT1G20810	-0.44	0.565021696	0.887714541	PEG	16.27	7218.5	-0.80	0.256301616	0.795975365	PEG	38.79	2507	1.55	0.200249503	1	MEG	70.67	7742	0.476521314	5822.5	AT1G20810.1	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	0.25	0.367652802	0.449599119	MEG	5.98	11306
AT2G44410	-0.11	0.546888578	0.881296262	PEG	1.27	7037	0.21	0.28284952	0.819699021	MEG	4.35	2689	-0.01	0.979153607	1	PEG	0.01	7742	0.434953687	5822.7	NA	NA	1.26	0.000941622	0.002640744	MEG	61.35	4930
AT4G34120	-0.92	0.422899293	0.822803891	PEG	45.61	5830	NA	NA	NA	NA	NA	3896	1.68	0.093787857	1	MEG	73.90	7742	0.158911184	5822.7	AT4G34120.1	Cystathionine beta-synthase (CBS) family protein	0.79	0.059387195	0.102011101	MEG	38.52	8049
